ANNEE,SESN,CD_COURS,REG_ADM,RES_ENS,CD_ORGNS_RESP,CD_ORGNS2,NO_GROUP_ELEVE,ELEVE_NOTE,MOYEN_NEB,PCT_REUST_NEB,MOYEN_NEM,PCT_REUST_NEM,MOYEN_NMB,PCT_REUST_NMB,MOYEN_NMC,PCT_REUST_NMC,MOYEN_RF,PCT_REUST_RF
2020,1,132510,16,PU,,,,137,66,78.1,,,,,,,66,78.1
2020,1,132510,16,PR,,,,5,62,60,,,,,,,62,60
2020,1,132510,16,,,,,142,65.9,77.5,,,,,,,65.9,77.5
2020,1,132510,,PU,,,,1947,64.5,71.5,,,,,,,64.5,71.5
2020,1,132510,,PR,,,,43,76.1,95.3,,,,,,,76.1,95.3
2020,1,132510,,,,,,1990,64.7,72.1,,,,,,,64.7,72.1
2020,1,132520,16,PU,866000,866057,61,1,44,0,,,70,100,70,100,70,100
2020,1,132520,16,PU,866000,866057,,1,44,0,,,70,100,70,100,70,100
2020,1,132520,16,PU,866000,,,14,63.6,66.7,57.7,54.5,60.1,50,60.1,50,61.7,64.3
2020,1,132520,16,PU,,,,195,65.8,78.4,59.9,56.9,58.2,48.2,58.2,48.2,60.1,54.4
2020,1,132520,16,PR,,,,12,,,,,66.4,75,66.4,75,66.4,75
2020,1,132520,16,,,,,207,65.8,78.4,59.9,56.9,58.6,49.8,58.6,49.8,60.5,55.6
2020,1,132520,,PU,,,,2178,59.7,52.4,61,57.5,59.7,54.8,59.7,54.8,61.9,60.7
2020,1,132520,,PR,,,,80,72.3,92.3,66.1,65.8,64,68.8,64,68.8,64.9,70
2020,1,132520,,GO,,,,1,,,,,74,100,74,100,74,100
2020,1,132520,,,,,,2259,60,53.3,61.1,57.7,59.8,55.3,59.8,55.3,62,61
2020,1,134504,16,PU,866000,866057,??,3,,,,,,,,,75,100
2020,1,134504,16,PU,866000,866057,,3,,,,,,,,,75,100
2020,1,134504,16,PU,866000,,,8,,,,,,,,,72.5,87.5
2020,1,134504,16,PU,,,,82,,,,,,,,,82.4,93.9
2020,1,134504,16,PR,,,,7,,,,,,,,,77.1,100
2020,1,134504,16,,,,,89,,,,,,,,,82,94.4
2020,1,134504,,PU,,,,963,,,,,,,,,76.2,88.3
2020,1,134504,,PR,,,,80,,,,,,,,,76.7,93.9
2020,1,134504,,,,,,1043,,,,,,,,,76.3,88.7
2020,1,134510,16,PU,866000,866057,90,3,76.7,100,80,100,80,100,80,100,82,100
2020,1,134510,16,PU,866000,866057,,3,76.7,100,80,100,80,100,80,100,82,100
2020,1,134510,16,PU,866000,,,8,72.7,83.3,78.6,100,76.3,100,76.3,100,77.9,100
2020,1,134510,16,PU,,,,81,82.2,97.4,84.4,98.5,84.1,98.8,84.1,98.8,85.1,98.8
2020,1,134510,16,PR,,,,7,75.9,100,76.4,85.7,76.4,100,76.4,100,76.9,100
2020,1,134510,16,,,,,88,81.6,97.6,83.6,97.3,83.5,98.9,83.5,98.9,84.4,98.9
2020,1,134510,,PU,,,,999,76.4,92.2,78.2,90.5,78.4,95.2,78.4,95.2,80,95.6
2020,1,134510,,PR,,,,86,76.8,93.3,75,75,78.3,90.7,78.3,90.7,78.4,90.7
2020,1,134510,,,,,,1085,76.4,92.2,78.1,90.3,78.4,94.8,78.4,94.8,79.9,95.2
2020,1,134520,16,PU,866000,866057,90,3,71,66.7,,,,,,,71,66.7
2020,1,134520,16,PU,866000,866057,,3,71,66.7,,,,,,,71,66.7
2020,1,134520,16,PU,866000,,,6,73.7,83.3,,,,,,,73.7,83.3
2020,1,134520,16,PU,,,,78,82.8,94.9,,,,,,,82.8,94.9
2020,1,134520,16,PR,,,,7,76.9,100,,,,,,,76.9,100
2020,1,134520,16,,,,,85,82.3,95.3,,,,,,,82.3,95.3
2020,1,134520,,PU,,,,1006,72.9,84.5,,,,,,,72.9,84.5
2020,1,134520,,PR,,,,83,76.9,94,,,,,,,76.9,94
2020,1,134520,,,,,,1089,73.2,85.2,,,,,,,73.2,85.2
2020,1,134530,16,PU,866000,866057,90,3,79,100,70,100,70,100,70,100,70.7,100
2020,1,134530,16,PU,866000,866057,,3,79,100,70,100,70,100,70,100,70.7,100
2020,1,134530,16,PU,866000,,,7,72,83.3,65.4,80,64.9,71.4,64.9,71.4,65.1,71.4
2020,1,134530,16,PU,,,,81,82.3,94.7,80.8,93.1,80.1,96.3,80.1,96.3,81.2,96.3
2020,1,134530,16,PR,,,,7,73.6,100,76.4,85.7,76.3,85.7,76.3,85.7,77.6,85.7
2020,1,134530,16,,,,,88,81.5,95.2,80.4,92.4,79.8,95.5,79.8,95.5,80.9,95.5
2020,1,134530,,PU,,,,988,72.1,87,72.7,84.8,72.6,87.9,72.6,87.9,74.3,89.7
2020,1,134530,,PR,,,,86,72.4,93.3,70.7,85.7,74.8,88.4,74.8,88.4,75,89.5
2020,1,134530,,,,,,1074,72.1,87.1,72.7,84.9,72.7,87.9,72.7,87.9,74.4,89.7
2022,1,132506,16,PU,866000,866051,??,1,,,,,,,,,54,0
2022,1,132506,16,PU,866000,866051,,1,,,,,,,,,54,0
2022,1,132506,16,PU,866000,,,2,,,,,,,,,58,33.3
